type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder,0,-1,2.890517,-3.297979,-1.020111,2.890517,-3.297979,-0.95,0.311921,0.02143,1.59784,0.070111,4961.131863, EXTRAPOLATETODTM,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,1,0,2.890517,-3.297979,-0.95,2.892417,-3.301267,-0.823544,0.297068,0.035075,1.57641,0.126513,4961.061752, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,2,1,2.892417,-3.301267,-0.823544,2.865082,-3.306997,-0.654783,0.296997,0.047402,1.541335,0.171056,4960.935239, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,3,2,2.865082,-3.306997,-0.654783,2.868384,-3.303148,-0.506291,0.296921,0.041152,1.493933,0.148579,4960.764183, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,4,3,2.868384,-3.303148,-0.506291,2.856575,-3.318989,-0.367332,0.296863,0.038859,1.452781,0.140357,4960.615604, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,5,4,2.856575,-3.318989,-0.367332,2.873115,-3.317308,-0.227319,0.296802,0.03902,1.413922,0.140997,4960.475248, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,6,5,2.873115,-3.317308,-0.227319,2.87588,-3.302709,-0.065508,0.296746,0.044952,1.374902,0.162492,4960.334251, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,7,6,2.87588,-3.302709,-0.065508,2.86817,-3.312532,0.055107,0.296677,0.03353,1.329949,0.12126,4960.171759, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,8,7,2.86817,-3.312532,0.055107,2.903119,-3.348612,0.191307,0.296625,0.040127,1.296419,0.145168,4960.0505, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,9,8,2.903119,-3.348612,0.191307,2.908414,-3.331623,0.361216,0.296563,0.047203,1.256292,0.170839,4959.905332, ALLOMETRICGROWTHVOLUME,0,-1,0.296802,1.413922,4960.475248,0,56,99.23709,9848,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
