type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder,0,-1,0.076822,-3.386935,-0.595933,0.076822,-3.386935,-0.5315,0.222504,0.010021,3.092378,0.064433,2135.412892, EXTRAPOLATETODTM,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,1,0,0.076822,-3.386935,-0.5315,0.058561,-3.328717,-0.085599,0.211908,0.063491,3.082356,0.450057,2135.348459, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,2,1,0.058561,-3.328717,-0.085599,0.062703,-3.334542,0.232646,0.197783,0.03912,3.018865,0.318325,2134.898403, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,3,2,0.062703,-3.334542,0.232646,0.06246,-3.357087,0.499611,0.198531,0.033174,2.979745,0.267916,2134.580078, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,4,3,0.06246,-3.357087,0.499611,0.073532,-3.374155,0.779853,0.188766,0.031454,2.946571,0.280979,2134.312162, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,5,4,0.073532,-3.374155,0.779853,0.067962,-3.393301,1.05038,0.187445,0.029942,2.915117,0.27126,2134.031183, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,6,5,0.067962,-3.393301,1.05038,0.062838,-3.386649,1.311286,0.19627,0.031591,2.885175,0.261041,2133.759922, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,0,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,7,6,0.062838,-3.386649,1.311286,0.055451,-3.429066,1.581252,0.182718,0.028673,2.853583,0.273378,2133.498881, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,1,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,8,7,0.055451,-3.429066,1.581252,0.073181,-3.465325,1.802064,0.203862,0.029308,2.82491,0.22447,2133.225503, SPHEREFOLLOWING,0,-1,0.197783,2.946571,2134.312162,1,32,56.745044,3220,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,9,8,0.073181,-3.465325,1.802064,0.062266,-3.478196,2.056271,0.196833,0.031009,2.795581,0.254767,2132.443321, SPHEREFOLLOWING,1,0,0.196833,2.795581,2132.443321,1,31,56.736232,3219,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
