type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder,0,-1,-2.372914,2.875943,-0.639367,-2.372914,2.875943,-0.55,0.291422,0.023844,4.779555,0.089367,3880.929034, EXTRAPOLATETODTM,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,1,0,-2.372914,2.875943,-0.55,-2.382034,2.887813,-0.452896,0.277545,0.023777,4.755711,0.098251,3880.839667, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,2,1,-2.382034,2.887813,-0.452896,-2.398724,2.858311,-0.148824,0.240459,0.055576,4.731934,0.305955,3880.741416, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,3,2,-2.398724,2.858311,-0.148824,-2.421035,2.84284,0.032095,0.230521,0.030542,4.676358,0.182945,3880.435461, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,4,3,-2.421035,2.84284,0.032095,-2.418588,2.827122,0.236573,0.253893,0.041534,4.645816,0.205096,3880.252516, ALLOMETRICGROWTHVOLUME,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,5,4,-2.418588,2.827122,0.236573,-2.426239,2.818478,0.382035,0.239049,0.026196,4.604282,0.14592,3880.04742, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,6,5,-2.426239,2.818478,0.382035,-2.418279,2.803978,0.558083,0.216888,0.026131,4.578086,0.176823,3879.9015, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,7,6,-2.418279,2.803978,0.558083,-2.403138,2.80359,0.728783,0.237364,0.030333,4.551954,0.171371,3879.724677, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,8,7,-2.403138,2.80359,0.728783,-2.407939,2.77552,0.822246,0.273869,0.023022,4.521621,0.097705,3879.553306, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,9,8,-2.407939,2.77552,0.822246,-2.441359,2.794276,0.954676,0.285345,0.035265,4.498599,0.137864,3879.455601, SPHEREFOLLOWING,0,-1,0.240459,4.604282,3880.04742,0,41,84.320816,7110,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,10,9,-2.441359,2.794276,0.954676,-2.497096,2.806124,1.09917,0.222667,0.024194,3.220888,0.155324,2885.829096, ALLOMETRICGROWTHVOLUME,1,0,0.222667,3.220888,2885.829096,0,39,72.732386,5290,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,11,10,-2.497096,2.806124,1.09917,-2.390988,2.805044,1.113552,0.210625,0.014924,2.747695,0.107084,2396.74316, ALLOMETRICGROWTHVOLUME,2,1,0.210625,2.747695,2396.74316,0,38,66.264621,4391,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,12,11,-2.390988,2.805044,1.113552,-2.306678,3.017463,1.44662,0.163837,0.034063,1.439814,0.403936,1379.857152, SPHEREFOLLOWING,3,2,0.163837,1.439814,1379.857152,0,37,50.635956,2564,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,13,12,-2.306678,3.017463,1.44662,-2.314337,3.033957,1.594823,0.15557,0.011353,1.208784,0.149314,1229.646003, SPHEREFOLLOWING,4,3,0.15557,1.208784,1229.646003,0,36,48.104054,2314,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,14,13,-2.314337,3.033957,1.594823,-2.426033,3.051704,1.707594,0.141379,0.010029,1.060887,0.159713,1079.021699, SPHEREFOLLOWING,5,4,0.141379,1.035761,1078.594081,0,35,45.144213,2038,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,15,14,-2.426033,3.051704,1.707594,-2.444102,3.060621,1.838351,0.129634,0.006985,1.050858,0.132301,1078.861986, SPHEREFOLLOWING,5,4,0.141379,1.035761,1078.594081,0,35,45.144213,2038,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,16,15,-2.444102,3.060621,1.838351,-2.457153,3.099056,1.967738,0.137992,0.008112,1.043873,0.135604,1078.729685, SPHEREFOLLOWING,5,4,0.141379,1.035761,1078.594081,0,35,45.144213,2038,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,17,16,-2.457153,3.099056,1.967738,-2.476275,3.151095,2.084311,0.135088,0.0074,1.035761,0.129084,1078.594081, SPHEREFOLLOWING,5,4,0.141379,1.035761,1078.594081,0,35,45.144213,2038,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,18,17,-2.476275,3.151095,2.084311,-2.490346,3.166243,2.168457,0.156565,0.006673,1.028361,0.086649,1078.464996, SPHEREFOLLOWING,5,4,0.141379,1.035761,1078.594081,0,35,45.144213,2038,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,19,18,-2.490346,3.166243,2.168457,-2.526169,3.178918,2.244287,0.143064,0.005454,1.021688,0.084818,1078.378347, ALLOMETRICGROWTHVOLUME,5,4,0.141379,1.035761,1078.594081,0,35,45.144213,2038,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,20,19,-2.526169,3.178918,2.244287,-2.533795,3.224922,2.349546,0.142208,0.007314,1.004218,0.115126,1060.352234, ALLOMETRICGROWTHVOLUME,6,5,0.142208,1.004218,1060.352234,0,34,44.82187,2009,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,21,20,-2.533795,3.224922,2.349546,-2.493,3.196967,2.526852,0.113638,0.007468,0.540973,0.184073,562.302701, ALLOMETRICGROWTHVOLUME,7,6,0.113528,0.533506,562.118627,0,29,32.264532,1041,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
