type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder, 0, -1, 0.530435, -4.539488, -1.170257, 0.530435, -4.539488, -1.095750, 0.166585, 0.006496, 0.900370, 0.074507, 763.564489, EXTRAPOLATETODTM, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 1, 0, 0.530435, -4.539488, -1.095750, 0.535395, -4.537606, -0.931734, 0.158653, 0.012976, 0.893874, 0.164102, 763.489982, SPHEREFOLLOWING, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 2, 1, 0.535395, -4.537606, -0.931734, 0.528188, -4.531934, -0.758902, 0.181445, 0.017901, 0.880898, 0.173075, 763.325880, ALLOMETRICGROWTHVOLUME, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 3, 2, 0.528188, -4.531934, -0.758902, 0.528511, -4.529698, -0.600460, 0.181209, 0.016346, 0.862997, 0.158458, 763.152806, ALLOMETRICGROWTHVOLUME, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 4, 3, 0.528511, -4.529698, -0.600460, 0.533474, -4.530917, -0.447188, 0.154616, 0.011518, 0.846650, 0.153357, 762.994347, SPHEREFOLLOWING, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 5, 4, 0.533474, -4.530917, -0.447188, 0.531691, -4.522322, -0.282244, 0.155046, 0.012474, 0.835133, 0.165178, 762.840990, SPHEREFOLLOWING, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 6, 5, 0.531691, -4.522322, -0.282244, 0.528705, -4.506949, -0.159332, 0.181889, 0.012878, 0.822658, 0.123906, 762.675813, SPHEREFOLLOWING, 0, -1, 0.181209, 0.862997, 763.152806, 0, 32, 36.851052, 1358, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 7, 6, 0.528705, -4.506949, -0.159332, 0.522707, -4.464688, -0.007120, 0.168366, 0.014078, 0.645277, 0.158083, 594.193822, SPHEREFOLLOWING, 1, 0, 0.168366, 0.645277, 594.193822, 0, 31, 32.588341, 1062, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 8, 7, 0.522707, -4.464688, -0.007120, 0.461770, -4.364067, 0.197120, 0.133279, 0.013153, 0.425373, 0.235696, 393.388550, SPHEREFOLLOWING, 2, 1, 0.141687, 0.412220, 393.152855, 0, 27, 26.457513, 700, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 9, 8, 0.461770, -4.364067, 0.197120, 0.448846, -4.404089, 0.296238, 0.141687, 0.006791, 0.412220, 0.107671, 393.152855, SPHEREFOLLOWING, 2, 1, 0.141687, 0.412220, 393.152855, 0, 27, 26.457513, 700, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
